"","Wlambda1.unity","Wlambda2.unity","Wlambda3.unity","Wnu1.unity","Wnu2.unity","Wgamma1.unity","Wgamma2.unity","Wgamma3.unity","Weta1.unity","Weta2.unity","Weta3.unity","WT.unity","WA.unity","WV.unity","WK.unity","WG.unity","WD.unity","BCUTw.1l","BCUTw.1h","BCUTc.1l","BCUTc.1h","BCUTp.1l","BCUTp.1h","Fsp3","XLogP","MW","LipinskiFailures","nRotB","MLogP","nAtomLAC","nAtomP","nAtomLC","nB","nBase","nAtom","nAromBond","naAromAtom","ALogP","ALogp2","AMR","nAcid","nSmallRings","nAromRings","nRingBlocks","nAromBlocks","nRings3","nRings4","nRings5","nRings6","nRings7","nRings8","nRings9","tpsaEfficiency","Zagreb","WPATH","WPOL","WTPT.1","WTPT.2","WTPT.3","WTPT.4","WTPT.5","VAdjMat","VABC","TopoPSA","topoShape","geomShape","PetitjeanNumber","MDEC.11","MDEC.12","MDEC.13","MDEC.14","MDEC.22","MDEC.23","MDEC.24","MDEC.33","MDEC.34","MDEC.44","MDEO.11","MDEO.12","MDEO.22","MDEN.11","MDEN.12","MDEN.13","MDEN.22","MDEN.23","MDEN.33","khs.sLi","khs.ssBe","khs.ssssBe","khs.ssBH","khs.sssB","khs.ssssB","khs.sCH3","khs.dCH2","khs.ssCH2","khs.tCH","khs.dsCH","khs.aaCH","khs.sssCH","khs.ddC","khs.tsC","khs.dssC","khs.aasC","khs.aaaC","khs.ssssC","khs.sNH3","khs.sNH2","khs.ssNH2","khs.dNH","khs.ssNH","khs.aaNH","khs.tN","khs.sssNH","khs.dsN","khs.aaN","khs.sssN","khs.ddsN","khs.aasN","khs.ssssN","khs.sOH","khs.dO","khs.ssO","khs.aaO","khs.sF","khs.sSiH3","khs.ssSiH2","khs.sssSiH","khs.ssssSi","khs.sPH2","khs.ssPH","khs.sssP","khs.dsssP","khs.sssssP","khs.sSH","khs.dS","khs.ssS","khs.aaS","khs.dssS","khs.ddssS","khs.sCl","khs.sGeH3","khs.ssGeH2","khs.sssGeH","khs.ssssGe","khs.sAsH2","khs.ssAsH","khs.sssAs","khs.sssdAs","khs.sssssAs","khs.sSeH","khs.dSe","khs.ssSe","khs.aaSe","khs.dssSe","khs.ddssSe","khs.sBr","khs.sSnH3","khs.ssSnH2","khs.sssSnH","khs.ssssSn","khs.sI","khs.sPbH3","khs.ssPbH2","khs.sssPbH","khs.ssssPb","Kier1","Kier2","Kier3","HybRatio","fragC","FMF","ECCEN","SP.0","SP.1","SP.2","SP.3","SP.4","SP.5","SP.6","SP.7","VP.0","VP.1","VP.2","VP.3","VP.4","VP.5","VP.6","VP.7","SPC.4","SPC.5","SPC.6","VPC.4","VPC.5","VPC.6","SC.3","SC.4","SC.5","SC.6","VC.3","VC.4","VC.5","VC.6","SCH.3","SCH.4","SCH.5","SCH.6","SCH.7","VCH.3","VCH.4","VCH.5","VCH.6","VCH.7","C1SP1","C2SP1","C1SP2","C2SP2","C3SP2","C1SP3","C2SP3","C3SP3","C4SP3","ATSp1","ATSp2","ATSp3","ATSp4","ATSp5","ATSm1","ATSm2","ATSm3","ATSm4","ATSm5","ATSc1","ATSc2","ATSc3","ATSc4","ATSc5","nHBDon","nHBAcc","PPSA.1","PPSA.2","PPSA.3","PNSA.1","PNSA.2","PNSA.3","DPSA.1","DPSA.2","DPSA.3","FPSA.1","FPSA.2","FPSA.3","FNSA.1","FNSA.2","FNSA.3","WPSA.1","WPSA.2","WPSA.3","WNSA.1","WNSA.2","WNSA.3","RPCG","RNCG","RPCS","RNCS","THSA","TPSA","RHSA","RPSA","bpol","apol","MOMI.X","MOMI.Y","MOMI.Z","MOMI.XY","MOMI.XZ","MOMI.YZ","MOMI.R","LOBMAX","LOBMIN","GRAV.1","GRAV.2","GRAV.3","GRAVH.1","GRAVH.2","GRAVH.3","GRAV.4","GRAV.5","GRAV.6","data[i, 1]"
"c1cc(ccc1N)S(=O)(=O)Nc2cncc(n2)Cl",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11.9985317273102,34.9693805006252,-0.302531842304655,0.246308186533333,5.72650001844664,11.4887743291494,0,0.833,284.723471006817,0,3,1.68,2,17,11,19,0,27,12,12,0.682600000000001,0.465942760000001,69.4564,0,2,2,2,2,0,0,0,2,0,0,0,0.374454065144645,92,627,25,35.8757743920078,1.99309857733377,22.534962783466,4.97459116252473,11.5645945397614,5.24792751344359,NA,106.35,1,NA,0.5,0,0,0,0,4.19013345186868,8.20555963405015,0,1.48674775909844,0,0,0.5,0,0,0,0.39685026299205,0,1.14471424255333,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,4,0,0,0,1,0,0,1,0,0,0,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.409972299169,5.96982167352538,3.99583766909469,0,478.08,0.777777777777778,287,13.1733621074374,8.47116367774211,8.2873040592859,5.98079970997446,4.69735890972594,3.41958341995735,2.41014252841194,1.03546015847828,9.99825913664481,5.57962854736449,4.20863358172167,2.55860151759543,1.62833659064018,1.00223742921636,0.544366950938758,0.221642949021372,3.16357619019724,4.51897754196172,5.54916671672366,0.893569931593525,1.00793076431397,1.00708324718712,1.97628879737091,0.204124145231932,0.348461712529338,0.102062072615966,0.636078413530686,0.0254995858900877,0.0586403733153841,0.00849986196336256,0,0,0,0.166666666666667,0.267258898432212,0,0,0,0.0444444444444444,0.0602687883880094,0,0,4,6,0,0,0,0,0,1313.90626497418,1498.43120923109,2058.53390792645,1897.16980892516,1541.60214237326,34.8295622224866,30.8449016174004,40.6384397943616,40.060305245975,34.7774826330022,0.395713785019293,-0.219695971233129,-0.00613260195219306,0.03477974206832,-0.00479412588132706,2,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,19.374863,34.685137,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"QKLPUVXBJHRFQZ-UHFFFAOYSA-N"
"c1cc(ccc1N)S(=O)(=O)Nc2ccc(nn2)Cl",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11.9985317273102,34.9693805006252,-0.302514546256867,0.246316950057663,5.72458615978049,11.4582113921054,0,1.255,284.723471006817,0,3,1.68,4,17,12,19,0,27,12,12,1.3658,1.86540964,71.4766,0,2,2,2,2,0,0,0,2,0,0,0,0.374454065144645,92,638,25,35.8761727820754,1.9931207101153,22.5324541712437,4.97492580251493,11.565550340142,5.24792751344359,NA,106.35,0.833333333333333,NA,0.454545454545455,0,0,0,0,4.55989686165505,8.39076368578128,0,1.32180215216673,0,0,0.5,0,0,0,0.39685026299205,0,1.65096362444731,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,4,0,0,0,1,0,0,1,0,0,0,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.409972299169,5.96982167352538,3.99583766909469,0,478.08,0.777777777777778,310,13.1733621074374,8.47116367774211,8.27539867748673,6.07123006273902,4.48547706667699,3.60697964970138,2.21104067487226,1.22949575220713,9.99825913664481,5.5965641012035,4.22289342793286,2.60493074677006,1.5634354874028,1.04765702844404,0.520665185322205,0.248831337391128,3.22752010586215,4.29651850011603,5.5797717877277,0.909885790001838,0.937793887524664,0.990607624245553,1.97628879737091,0.204124145231932,0.348461712529338,0.102062072615966,0.636078413530686,0.0254995858900877,0.0586403733153841,0.00849986196336256,0,0,0,0.166666666666667,0.267258898432212,0,0,0,0.0444444444444444,0.0602687883880094,0,0,2,8,0,0,0,0,0,1302.30736113173,1482.53895309215,2035.55149058598,1865.53495507346,1472.03802884183,34.8295622224866,30.872518052316,40.6384397943616,40.0326888110594,31.335181042397,0.297458163888477,-0.142552149694422,0.0443658244779031,-0.040909899910401,-0.0235872523183029,2,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18.054863,34.685137,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"XOXHILFPRYWFOD-UHFFFAOYSA-N"
"Cc1cc(nc(n1)NS(=O)(=O)c2ccc(cc2)N)C",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11.89,31.9720719500242,-0.30252694299182,0.247442948280846,5.72628789594812,11.4853995606254,0.166666666666667,0.963,278.331708991338,0,3,2.01,5,17,11,20,0,33,12,12,0.878599999999999,0.771937959999999,73.3839,0,2,2,2,2,0,0,0,2,0,0,0,0.382438748124635,98,722,27,37.7248266222786,1.98551719064624,20.038481422013,4.97477787715329,11.5889256677065,5.32192809488736,NA,106.35,1,NA,0.5,0.25,1.73987797348818,2.90183521098708,0,3.12415192076472,7.89936756938058,0,2.60639135844613,0,0,0.5,0,0,0,0.412740906111828,0,1.5,0,0,0,0,0,0,0,0,2,0,0,0,0,5,0,0,0,0,5,0,0,0,1,0,0,1,0,0,0,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.39,6.18549346016647,4.23140495867769,0.166666666666667,814.07,0.736842105263158,306,14.0436055954405,8.86501052785946,8.93297663581657,6.21194396373987,5.23253738497615,3.46826531985857,2.79305265143402,1.05802441175508,10.7870154484275,5.94349765385629,4.56866104414154,2.73372488259584,1.83319980841478,1.0357185436046,0.623026834747505,0.236719411214947,3.43296560786566,5.32456400909674,6.25004520329338,0.993064288593979,1.20726517040038,1.15292225220693,2.26496393196573,0.204124145231932,0.348461712529338,0.102062072615966,0.733342569898777,0.0254995858900877,0.0586403733153841,0.00849986196336256,0,0,0,0.15137471507731,0.309195285920423,0,0,0,0.0422115345075184,0.0691216232285663,0,0,0,9,0,2,0,0,0,1372.60504530882,1568.55885608653,2181.29448412563,2038.53981227738,1713.87611005236,28.1166123146378,29.8931309779623,38.7981462336908,37.8884882793892,34.2133892422601,0.34742092368932,-0.224305696236302,0.152023045931542,-0.18324683944952,0.144401667004569,2,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,24.420898,39.359102,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ASWVTGNCAZCNNR-UHFFFAOYSA-N"
"COc1cc(nc(n1)OC)NS(=O)(=O)c2ccc(cc2)N",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11.993387072469,31.9720720755103,-0.337178975755226,0.271133192291433,4.79904480458796,11.5067751331342,0.166666666666667,1.619,310.330518846477,0,5,1.79,3,19,12,22,0,35,12,12,1.3588,1.84633744,77.7543,0,2,2,2,2,0,0,0,2,0,0,0,0.402517368922463,106,956,31,41.7714699376028,1.98911761607632,25.756326281718,10.5644453830039,11.7103912277261,5.4594316186373,NA,124.81,0.833333333333333,NA,0.454545454545455,0.166666666666667,1.37866222287186,2.13771791254983,0,3.53952919598311,8.10964329020783,0,2.60639135844613,0,0,0.5,0.666666666666667,0.25,0,0.383154716196777,0,1.19055078897615,0,0,0,0,0,0,0,0,2,0,0,0,0,5,0,0,0,0,5,0,0,0,1,0,0,1,0,0,0,0,2,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.3553719008264,7.51300728407908,4.73338203067933,0.166666666666667,876.09,0.666666666666667,369,15.4578191578136,9.94102013278103,9.2711805932681,7.09050212720372,5.4884597026316,4.24952417248788,3.00742002444515,1.6868816554198,11.6035120293552,6.16824252524787,4.37659204728858,2.84518923561697,1.74309606677866,1.14001219032152,0.605367647114591,0.292372720103893,3.64595175245389,5.29679216206379,6.7378971513937,0.945378320242219,1.05218587048768,1.09350435761276,2.09586195323996,0.204124145231932,0.348461712529338,0.102062072615966,0.583222859304266,0.0254995858900877,0.0586403733153841,0.00849986196336256,0,0,0,0.15137471507731,0.269337567297406,0,0,0,0.0422115345075184,0.0520392227888608,0,0,2,7,0,0,0,0,0,1412.69009681453,1619.56390063726,2251.14391036135,2184.59582998003,1891.32234281875,31.6655503857197,33.2214988864926,42.2644607675663,43.2717319209916,39.9004845084592,0.643726286465569,-0.496205535480266,0.429728793115954,-0.46927192680538,0.470961927068741,2,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,28.252898,40.963102,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ZZORFUFYDOWNEF-UHFFFAOYSA-N"
"COc1c(ncnc1OC)NS(=O)(=O)c2ccc(cc2)N",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11.993387072469,31.9720720755103,-0.342112342987005,0.24633181875771,4.93029088911453,11.5411275308714,0.166666666666667,0.623,310.330518846477,0,5,1.79,3,19,12,22,0,35,12,12,0.8378,0.70190884,77.8403,0,2,2,2,2,0,0,0,2,0,0,0,0.402517368922463,106,930,33,41.7733149542426,1.98920547401155,25.747848983377,10.5812400535432,11.6840939767716,5.4594316186373,NA,124.81,0.833333333333333,NA,0.454545454545455,0.2,1.40861690380744,2.39167654984467,0,3.30917619753243,7.76986577878393,0,3.10267168393334,0,0,0.5,0.730296743340221,0.333333333333333,0,0.383154716196777,0,1.19055078897615,0,0,0,0,0,0,0,0,2,0,0,0,0,5,0,0,0,0,5,0,0,0,1,0,0,1,0,0,0,0,2,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.3553719008264,7.51300728407908,4.2603550295858,0.166666666666667,876.09,0.666666666666667,365,15.4578191578136,9.97469363759224,9.08091518180373,7.26592470238573,5.76623093106143,4.3250753322569,2.88479745447153,1.4970665285362,11.6035120293552,6.16007644005261,4.35914786834677,2.92813324101951,1.84542067012553,1.16602842178364,0.592058996432574,0.274250442168547,3.86337216165612,5.81073238363745,7.47998548791179,1.02799963200369,1.2022540055427,1.23397657345775,1.95290561436546,0.204124145231932,0.484544476017292,0.102062072615966,0.577719962355858,0.0254995858900877,0.0793682098363242,0.00849986196336256,0,0,0,0.15137471507731,0.269337567297406,0,0,0,0.0422115345075184,0.0520392227888608,0,0,2,7,0,0,0,0,0,1442.01831627916,1662.29044186558,2328.34228659653,2337.00217722825,1993.27337804834,31.6655503857197,33.2214988864926,41.8217215276982,46.7100379271064,44.2916830813103,0.672877950715566,-0.436761878974938,0.118822167806997,0.0620938365838347,-0.0670086924514151,2,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,28.252898,40.963102,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"PJSFRIWCGOHTNF-UHFFFAOYSA-N"
"c1cnc(nc1)NS(=O)(=O)c2ccc(cc2)N",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11.9934267909931,31.9720718497706,-0.337094660238646,0.247426744096816,5.71599066016556,11.4068041179024,0,0.333,250.278474182459,0,3,1.79,3,17,11,18,0,27,12,12,0.3134,0.0982195600000002,64.2009,0,2,2,2,2,0,0,0,2,0,0,0,0.425310775515474,86,536,23,34.0184090091218,2.00108288288952,20.0541906126204,4.97380913059661,11.6065723514272,5.16992500144231,NA,106.35,1,NA,0.5,0,0,0,0,5.72915340683671,7.153374515887,0,0.7937005259841,0,0,0.5,0,0,0,0.412740906111828,0,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,3,0,0,0,1,0,0,1,0,0,0,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.4320987654321,5.76,3.72889417360285,0,512.07,0.823529411764706,268,12.3031186194344,8.07731682762475,7.65353686455439,5.66054646021606,4.34350148394078,3.31189148027106,2.04000288017877,1.00889193518196,8.94171598680675,5.10199823532769,3.66674530113442,2.31721395200516,1.41693433414714,0.912418437298613,0.443490792342165,0.19613260614919,2.81927181539829,3.95393615098837,4.98480673454296,0.74260042576578,0.796962472954582,0.812462295889022,1.6876136627761,0.204124145231932,0.348461712529338,0.102062072615966,0.475143680151616,0.0254995858900877,0.0586403733153841,0.00849986196336256,0,0,0,0.185395405949299,0.197168783648703,0,0,0,0.0470227867507653,0.0426597358907085,0,0,2,7,0,0,0,0,0,1179.4587986738,1339.84455478932,1829.88153293681,1670.5277393387,1323.85269241005,26.1166123146378,27.8931309779623,34.4657823673299,33.8884882793892,28.5486615095383,0.351229605675891,-0.239922922598748,0.189874606895314,-0.228352791503911,0.186182271217999,2,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20.04807,33.17193,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SEEPANYCNGTZFQ-UHFFFAOYSA-N"
"c1cc(ccc1N)S(=O)(=O)NC(=N)N",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11.9935115960106,31.9720716993356,-0.303602605346077,0.246945598559413,5.68312526068212,11.2949431773889,0,0.0469999999999999,214.246266492095,0,3,1.46,0,14,9,14,3,24,6,6,-0.3768,0.14197824,53.216,0,1,1,1,1,0,0,0,1,0,0,0,0.609383363972373,68,307,18,26.9764421983178,1.92688872845127,18.4396732134261,4.91213923250512,10.1153947484158,4.8073549220576,NA,130.44,1,NA,0.5,0,0,0,0,3.30192724889463,5.78095490399398,0,0.7937005259841,0,0,0.5,0,0,0.595275394488075,1.04004191152595,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,1,2,0,0,0,2,0,1,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.0714285714286,4.68,3.59183673469388,0,394.07,0.428571428571429,166,10.7675847135016,6.41552078507628,6.54334786991786,4.05537474469352,3.26041957779731,1.92258898432212,1.32396369939943,0.477828899429946,7.39258825742759,4.01039532826156,3.00802226150224,1.77942743809036,1.0756793387015,0.620445156896594,0.301571751790894,0.10167652813114,2.63265875341944,4.02410641950063,4.38429672639255,0.698432474112311,0.74558023487748,0.697456507996802,1.89173780800803,0.204124145231932,0.348461712529338,0.102062072615966,0.497312463800319,0.0254995858900877,0.0586403733153841,0.00849986196336256,0,0,0,0.0833333333333333,0.125,0,0,0,0.0277777777777778,0.0330372314042147,0,0,0,6,0,0,0,0,0,970.059008814774,1082.13311549002,1468.34857267328,1288.5028440437,993.75003891626,23.1166123146378,23.5607671116014,29.133418500969,28.2237605466674,22.0429091672519,0.257988076725473,-0.149648827944483,0.103506400235737,-0.122265733803436,0.0572856017397685,4,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16.74807,27.89193,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"BRBKOPJOKNSWSG-UHFFFAOYSA-N"
"Cc1c(noc1NS(=O)(=O)c2ccc(cc2)N)C",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11.89,31.9720719068138,-0.302516649494572,0.246642769862528,5.72393745582311,11.4478049557253,0.181818181818182,1.474,267.305734061257,0,3,1.9,4,16,11,19,0,31,11,11,0.918499999999999,0.843642249999998,67.9186,0,2,2,2,2,0,0,1,1,0,0,0,0.399149635470878,94,614,26,35.6575609992359,1.98097561106866,19.9530276119831,7.9819368810853,8.50092505621078,5.24792751344359,NA,106.6,1,NA,0.5,0.333333333333333,1.14876357800364,3.37701897368727,0,3.30192724889463,6.3195178146135,0,3.10267168393334,0,0,0.5,0.5,0,0,0.272165526975909,0,0.333333333333333,0,0,0,0,0,0,0,0,2,0,0,0,0,4,0,0,0,0,5,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.409972299169,5.55102040816327,3.32179930795848,0.181818181818182,718.07,0.722222222222222,284,13.336498814254,8.39868403267067,8.32333158496523,6.54325292626519,4.6392943574627,3.35940519449645,2.21722457855316,1.09960379889871,10.1706998742018,5.58202532248371,4.31645565459939,2.91071474149517,1.59964339687104,0.999599954917595,0.528752775897336,0.228705492775418,4.03176085399408,5.2833171797984,6.46512954236608,1.29264609102829,1.24731429078398,1.24143995829157,2.07830853433623,0.204124145231932,0.58076952088223,0.102062072615966,0.712978115334588,0.0254995858900877,0.14005759090687,0.00849986196336256,0,0,0.0962250448649376,0.343824804807186,0.391328499224881,0,0,0.0228217732293819,0.0848322108512326,0.0856641270624993,0,0,1,7,1,2,0,0,0,1276.47627313838,1469.63529270593,2079.37331187894,1865.00182686361,1461.67466340041,27.5311010489023,29.2801387526202,37.9358508811931,37.7457447159113,31.6611205284127,0.287391625998096,-0.115444133088001,0.0539117820323805,-0.112384239680973,0.0456434101944615,2,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,22.603691,36.634309,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NHUHCSRWZMLRLA-UHFFFAOYSA-N"
"COc1ccc(nn1)NS(=O)(=O)c2ccc(cc2)N",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11.9934056782943,31.9720719626277,-0.337153100807546,0.246277491579083,4.65378528730339,11.44482451086,0.0909090909090909,1.187,280.304496514468,0,4,1.79,4,18,13,20,0,31,12,12,1.0149,1.03002201,72.3872,0,2,2,2,2,0,0,0,2,0,0,0,0.412692841682276,96,758,27,37.8974713666955,1.99460375614187,22.8885206807864,7.75762698324307,11.6530914119564,5.32192809488736,NA,115.58,1,NA,0.5,0,0.884857914149934,0.734411253978719,0,4.55989686165505,8.39076368578128,0,1.32180215216673,0,0,0.5,0.285714285714286,0,0,0.39685026299205,0,1.65096362444731,0,0,0,0,0,0,0,0,1,0,0,0,0,6,0,0,0,0,4,0,0,0,1,0,0,1,0,0,0,0,2,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.39,6.63520408163265,4.23140495867769,0.0909090909090909,682.08,0.736842105263158,354,13.880468888624,9.00916848020289,8.4445006562125,6.47947835320288,4.79609428420303,3.7046107226392,2.46104067487226,1.34171576269787,10.272614008081,5.64198982738545,4.05528268450754,2.62056360226832,1.57554901438465,1.00572302416917,0.52108735512324,0.240119885766867,3.31207109522503,4.47388254630055,5.55117630851873,0.866608882139722,0.919614205818803,0.921240143081535,1.89173780800803,0.204124145231932,0.348461712529338,0.102062072615966,0.542398030257879,0.0254995858900877,0.0586403733153841,0.00849986196336256,0,0,0,0.166666666666667,0.242851130197758,0,0,0,0.0444444444444444,0.0481747029119458,0,0,2,8,0,0,0,0,0,1286.07045663768,1464.99889658725,2016.63000942062,1888.4278067815,1507.9913170366,28.8910813501788,30.584931367143,38.1299211385175,38.6903520883957,31.881684313272,0.41784411876496,-0.239258154944117,0.0954864243906433,-0.0352495436992943,-0.0728845381919605,2,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,22.830484,37.067516,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"VLYWMPOKSSWJAL-UHFFFAOYSA-N"
"Cc1ccnc(n1)NS(=O)(=O)c2ccc(cc2)N",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11.9934057059164,31.9720718999256,-0.337095717164686,0.24743187080306,5.71845128341752,11.4461017553317,0.0909090909090909,0.648,264.305091586898,0,3,1.9,4,17,11,19,0,30,12,12,0.595999999999999,0.355215999999999,68.7924,0,2,2,2,2,0,0,0,2,0,0,0,0.402737026248068,92,627,25,35.8757743920078,1.99309857733377,20.0497154667389,4.97459116252474,11.6005331416894,5.24792751344359,NA,106.35,1,NA,0.5,0,1.1634026079003,1.12119522033829,0,4.19578072333738,7.98818615541452,0,1.48674775909844,0,0,0.5,0,0,0,0.412740906111828,0,1.5,0,0,0,0,0,0,0,0,1,0,0,0,0,6,0,0,0,0,4,0,0,0,1,0,0,1,0,0,0,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.409972299169,5.96982167352538,3.99583766909469,0.0909090909090909,655.07,0.777777777777778,287,13.1733621074374,8.47116367774211,8.2873040592859,5.98079970997446,4.69735890972593,3.41958341995735,2.41014252841194,1.03546015847828,9.86436571761713,5.52274794459199,4.115976010791,2.54625369615057,1.56146716860928,0.981506440079709,0.527312032736207,0.217536963595148,3.16357619019724,4.51897754196172,5.54916671672366,0.877818233993082,0.94687328091755,0.949000089411191,1.97628879737091,0.204124145231932,0.348461712529338,0.102062072615966,0.604243125025197,0.0254995858900877,0.0586403733153841,0.00849986196336256,0,0,0,0.166666666666667,0.267258898432212,0,0,0,0.0444444444444444,0.0580372314042147,0,0,1,8,0,1,0,0,0,1272.60329728058,1449.31296506351,1996.19019255423,1840.86199308076,1491.92531178548,27.1166123146378,28.8931309779623,36.6319643005104,35.8884882793892,30.8810253758992,0.349256029589952,-0.232338526275669,0.170401889287873,-0.203924334585303,0.164218842872735,2,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,22.234484,36.265516,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"QPPBRPIAZZHUNT-UHFFFAOYSA-N"
